siskiyou,Twin Trundle Bed,00707_jFxu3T2lhLP,250
siskiyou,Cool Rustic Table & Chairs,00F0F_iyZmcMX2NOb,300
siskiyou,Family Size Dining Table,00b0b_adX2M7jW25B,120
siskiyou,Queen Size Mattress Flippable,00i0i_hayiJAmhge4,40
siskiyou,Side board/Buffet,00k0k_2zOcPU4kZEN,475
siskiyou,Dresser,00K0K_id8AW6gG9k2,
siskiyou,Dresser,00h0h_bBfRxjvGLiu,
siskiyou,Leather Reclining Sofa,00101_25LEsXUs6Bn,300
siskiyou,Solid wood hutch,00a0a_2xH8eujT63h,140
siskiyou,6-sided end Table,00a0a_3HaPDPhpwyU,20
siskiyou,Loveseat,00404_4H7t8nsmSrU,60
siskiyou,Invacare electric adjustable hospital bed,00r0r_eplagQc2p8E,150
siskiyou,Quality love seat couch,00r0r_dLKiuwqOoal,200
siskiyou,New - 12inch Queen Size Memory Foam Mattress,,269
siskiyou,Rawhide chair,00Z0Z_lAd1HDaOkI7,125
siskiyou,Artistic Handmade Walnut and Cherry Entry Console Table,00505_ej3Rb4dAj0a,1900
siskiyou,Lopi Wood Stove with Blower,,700
siskiyou,Wicker collection ~ 3 piece,00b0b_ikwD1FYf0Ap,225
siskiyou,many fine items,01515_2U5hAPABN0F,
siskiyou,Misc furniture and stuff,00v0v_bi5dcjboiYJ,
siskiyou,Drop Front Desk/Dresser,00V0V_gf7W8RyN1jO,125
siskiyou,Nice dining tabe and chairs,00y0y_k8QdW3sVqmU,250
siskiyou,Great full size bed,00b0b_dfK9zy8W4cP,150
siskiyou,Side Tables,00s0s_ic3uDYi1z2R,35
siskiyou,Tempur-pedic Mattress and Box - full size,00j0j_8BjrAdpOwob,425
siskiyou,PARROT CAGE  LARGE,00c0c_dccxpZfk1cn,200
siskiyou,High-End Steelcase Walnut File & Personal Cabinets (4),00v0v_8L9wuhfSc3t,
siskiyou,High-end Steelcase Reception Desk & Cubicles,00t0t_klpSjiYcbTd,
siskiyou,Steelcase High-End Walnut Executive Desk + Two Cabinets,00V0V_5yyNHuFXEXK,
siskiyou,Ekornes Recliner,01515_kfa6hOuEmE1,45
siskiyou,Reduced!!!!Pier 1 rod iron bed cal king,00D0D_kdT32JWtalF,125
siskiyou,7 piece bedroom set,00i0i_k0lS6bAC517,450
siskiyou,Furniture and Home Decore,00M0M_43UTY1MuGnx,
siskiyou,Like New couch with hidabed,,150
siskiyou,Nice Queen Bedroom Set,00707_8qW4lX59nUO,200
siskiyou,Dining Set,01212_aBkwvFCq7ZL,200
siskiyou,Bar stools,00N0N_cLHWAbKGDfc,250
siskiyou,"Office cubicles, desks, partitions, misc.",01515_e9rEAy19RaW,
siskiyou,Stuffed Chair and Ottoman,00Q0Q_suEy6eIPcw,150
siskiyou,King Bed Comfort Barely Used,00r0r_jgQrgUZPp0,300
siskiyou,2 piece all wood armoire-Excellent condition (dresser),00z0z_im6SdoBWeeX,350
siskiyou,2 All wood end tables with cabinets,00X0X_1ywUOfwlbRk,50
siskiyou,Like new Couch and Love Seat ( Plans Changed),01010_1Qyaijlqk7G,475
siskiyou,Kenmore sewing machine and cabinet,00d0d_fIj3glrvuSN,80
siskiyou,Coffee Table with 2 matching end tables,00J0J_bXzDXNLSRRi,200
siskiyou,Oak Computer Desk w/ Chair,01212_cXCxHf0Egbi,125
siskiyou,Matching slate tile coffee/end table,01717_bqnnJCc34EF,150
siskiyou,"41"" round solid wood tables",00e0e_4GJnd64FPbT,40
siskiyou,Queen Headboard from Pier 1 Imports,01111_bKoZVsl7e1o,110
siskiyou,dressers dressers dresssers,,
siskiyou,Leather couch tanish grey,00808_koMbpMXZclM,150
siskiyou,Hand-woven rattan armchair and Ottoman,00R0R_6uArx0YCurP,150
siskiyou,Dresser with Mirror,00W0W_7OHcCN5Dq1t,250
siskiyou,Mirror,00w0w_iJjriwG8eeS,75
siskiyou,Pineapple Poster bed,00w0w_ekaHR0R4MGS,60
siskiyou,End table or night stands,00w0w_8arK7HG9u0a,80
siskiyou,Dining table,00f0f_iIiM2XqVv6i,200
siskiyou,Dining Set,00909_lsMdCrk8th,150
siskiyou,Dining Room Table/Gardening Table,00707_1gDApa459nI,40
siskiyou,Nice couch and recliner,01616_kI1VdKWfewV,200
siskiyou,Modern wool rug,00a0a_3A9sCFItImt,200
siskiyou,Dresser and Mirror,00o0o_kx5PQq7cMjF,100
siskiyou,Sewing Table,00R0R_gAnH6gOhNvg,25
siskiyou,BEAUTIFUL  EXECUTIVE DESK,00T0T_cFNfLs8V12t,35
siskiyou,Full white ikea bed,01515_jCsKtBymHDM,80
siskiyou,Assorted Chairs $10 each and Persian rug,00S0S_cVD1ojJdrFg,
siskiyou,LOVE SEAT,00P0P_3AN44dEREnf,20
siskiyou,Corner desk and cabinet,00H0H_bLNfHkaPisf,100
siskiyou,King Mattress - Clean/Good Condition,00l0l_gTjJ96e6ZIm,25
siskiyou,Desk set,01717_eEU8dzGCgQl,25
siskiyou,Furniture vintage,01515_bCWDvid9TTc,20
siskiyou,Large entertainment or office unit.,00O0O_6nwp7mekU30,400
siskiyou,Complete Vanity,01212_kzkWPe0vi1H,500
siskiyou,Butcher Block,00r0r_5WxlttN9x8x,250
siskiyou,Shabby chic metal table & two chairs needs paint,00w0w_eeu25Ijrbfm,
siskiyou,La-Z Boy Power Lift Chair,00X0X_aOHN2v8pxWo,
siskiyou,2 free recliner/rockers,,
siskiyou,Table and 8 chairs,00e0e_b8sVc94fyVl,125
siskiyou,"Queen sized bed/box spring/bed frame, toaster oven, futon",01010_eVPgpceRfdd,80
siskiyou,Ceiling fan,,25
siskiyou,Brass Queen Head/Foot Board,01212_7bpNM7xA68F,50
siskiyou,Chairs,00z0z_66nsCgKP4nj,1
siskiyou,Dinette set,00D0D_kvaRFLbDCcx,125
siskiyou,TV Trays 4 SALE!,00s0s_lLuRbgzZY4t,20
siskiyou,Lazy Boy rocker recliner,00f0f_1nOr04pspIF,30
siskiyou,Computer desk,00T0T_3iB8WfApOOI,25
siskiyou,Lift chair,00P0P_ix9WiYqNEfT,300
siskiyou,old make up dresser,,100
siskiyou,Dresser Furniture Set,00v0v_iqNivOu4dTe,375
siskiyou,Antique Wood Dining Table,00m0m_ft7AeG7Xos6,175
siskiyou,Rustic Tall Dresser,00e0e_dDBKFpBBjir,25
siskiyou,Pillow Top Full Bed with Box Spring,00d0d_hYFDD7dNGz3,75
siskiyou,Recliner,00c0c_lUIBykFCK44,50
siskiyou,TV Stand,00D0D_h52BXOrfHQV,30
siskiyou,Computer Desk,00p0p_2Bj0Xpz6lXN,50
siskiyou,Wrought Iron Patio Table & two wrought Iron rockers,,95
siskiyou,Entertainment center,00t0t_3Ql57zYUGkP,50
siskiyou,Recliner,00x0x_1MYwYBFtBRh,75
siskiyou,Patio Table,00o0o_1DrMXUxCQkV,40
siskiyou,Pull out couch,01313_9xPyIlfShqR,40
siskiyou,SOLID OAK HEART ROCKER,00101_1gLCqNUQzoy,125
siskiyou,2 hanging lamps,,25
siskiyou,Double bed frame,00V0V_axmO7QQdEQj,65
siskiyou,Retro silver dresser,00W0W_cAvM8AnypMl,75
